application_date,decision_date,processing_days,normalized_processing,application_month,application_year,country_Canada,country_Germany,country_India,country_UK,country_USA,visa_type_Dependent,visa_type_Student,visa_type_Tourist,visa_type_Work,processing_office_Delhi,processing_office_London,processing_office_New York,processing_office_Sydney,processing_office_Toronto,season_Spring,season_Summer,season_Winter,risk_Low Delay
2024-06-14,2024-08-20,67,0.12947584841189483,6,2024,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
2024-06-06,2024-07-11,35,-0.8145230988807362,6,2024,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
2024-02-10,2024-02-25,15,-1.4045224409386305,2,2024,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
2024-09-29,2025-01-10,103,1.1914746641161047,9,2024,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
2024-08-31,2024-11-14,75,0.3654755852350525,8,2024,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
2024-11-06,2025-01-04,59,-0.10652388841126292,11,2024,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True
2024-12-19,2025-01-18,30,-0.9620229343952097,12,2024,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True
2024-12-09,2025-03-07,88,0.7489751575726838,12,2024,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2024-08-19,2024-09-08,20,-1.257022605424157,8,2024,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True
2024-06-22,2024-06-29,7,-1.6405221777617882,6,2024,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True
2024-10-28,2024-11-30,33,-0.8735230330865256,10,2024,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
2024-11-19,2024-12-01,12,-1.4930223422473146,11,2024,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True
2024-06-18,2024-07-02,14,-1.4340224080415251,6,2024,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
2024-12-08,2025-02-13,67,0.12947584841189483,12,2024,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False
2024-10-19,2025-01-05,78,0.4539754865437367,10,2024,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2024-07-27,2024-08-25,29,-0.9915229014981044,7,2024,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
2024-08-08,2024-09-27,50,-0.37202359233731536,8,2024,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
2024-01-28,2024-04-28,91,0.837475058881368,1,2024,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
2024-07-25,2024-10-31,98,1.043974828601631,7,2024,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
2024-04-08,2024-05-07,29,-0.9915229014981044,4,2024,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
2024-08-04,2024-09-01,28,-1.0210228686009992,8,2024,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True
2024-02-08,2024-04-09,61,-0.047523954205473486,2,2024,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
2024-11-29,2025-02-11,74,0.3359756181321578,11,2024,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
2024-03-26,2024-05-22,57,-0.16552382261705234,3,2024,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
2024-07-24,2024-11-21,120,1.6929741048653149,7,2024,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
2024-01-02,2024-02-25,54,-0.2540237239257365,1,2024,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True
2024-08-04,2024-11-06,94,0.9259749601900522,8,2024,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
2024-09-06,2024-09-30,24,-1.139022737012578,9,2024,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True
2024-01-30,2024-04-18,79,0.4834754536466314,1,2024,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
2024-06-09,2024-06-21,12,-1.4930223422473146,6,2024,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True
2024-09-14,2025-01-06,114,1.5159743022479466,9,2024,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
2024-09-17,2024-10-02,15,-1.4045224409386305,9,2024,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
2024-02-04,2024-05-05,91,0.837475058881368,2,2024,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
2024-10-18,2024-11-23,36,-0.7850231317778414,10,2024,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
2024-11-13,2024-11-28,15,-1.4045224409386305,11,2024,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2024-09-24,2024-11-08,45,-0.519523427851789,9,2024,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True
2024-06-09,2024-07-14,35,-0.8145230988807362,6,2024,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True
2024-12-09,2025-03-06,87,0.7194751904697891,12,2024,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2024-02-07,2024-02-13,6,-1.6700221448646828,2,2024,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
2024-02-21,2024-03-06,14,-1.4340224080415251,2,2024,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
2024-05-15,2024-06-05,21,-1.227522638321262,5,2024,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True
2024-07-08,2024-08-18,41,-0.6375232962633678,7,2024,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
2024-12-26,2025-02-07,43,-0.5785233620575784,12,2024,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True
2024-12-07,2025-03-26,109,1.368474466733473,12,2024,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2024-02-23,2024-06-19,117,1.6044742035566306,2,2024,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False
2024-02-24,2024-06-03,100,1.1029747628074205,2,2024,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
2024-05-24,2024-08-14,82,0.5719753549553156,5,2024,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False
2024-12-17,2025-03-13,86,0.6899752233668944,12,2024,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False
2024-05-08,2024-09-05,120,1.6929741048653149,5,2024,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
2024-08-04,2024-11-23,111,1.4274744009392624,8,2024,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False
2024-06-19,2024-09-30,103,1.1914746641161047,6,2024,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False
2024-08-14,2024-10-28,75,0.3654755852350525,8,2024,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2024-01-05,2024-01-24,19,-1.2865225725270515,1,2024,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
2024-01-19,2024-05-09,111,1.4274744009392624,1,2024,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2024-03-16,2024-05-15,60,-0.0770239213083682,3,2024,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True
2024-07-05,2024-11-02,120,1.6929741048653149,7,2024,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
2024-12-15,2025-01-20,36,-0.7850231317778414,12,2024,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True
2024-10-13,2025-02-08,118,1.6339741706595254,10,2024,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2024-03-20,2024-04-24,35,-0.8145230988807362,3,2024,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True
2024-01-13,2024-02-09,27,-1.0505228357038938,1,2024,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True
2024-12-08,2025-04-02,115,1.5454742693508412,12,2024,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
2024-03-22,2024-07-05,105,1.2504745983218941,3,2024,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
2024-01-20,2024-05-13,114,1.5159743022479466,1,2024,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
2024-08-23,2024-10-11,49,-0.40152355944021006,8,2024,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True
2024-01-13,2024-04-11,89,0.7784751246755786,1,2024,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
2024-05-22,2024-09-14,115,1.5454742693508412,5,2024,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
2024-11-24,2025-02-02,70,0.21797574972057895,11,2024,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
2024-01-15,2024-02-03,19,-1.2865225725270515,1,2024,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True
2024-05-15,2024-05-24,9,-1.5815222435559988,5,2024,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
2024-06-25,2024-10-01,98,1.043974828601631,6,2024,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2024-09-18,2024-10-07,19,-1.2865225725270515,9,2024,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
2024-05-10,2024-05-20,10,-1.552022276453104,5,2024,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
2024-09-23,2025-01-09,108,1.3389744996305781,9,2024,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
2024-08-08,2024-08-21,13,-1.46352237514442,8,2024,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True
2024-06-09,2024-09-06,89,0.7784751246755786,6,2024,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2024-06-07,2024-09-05,90,0.8079750917784733,6,2024,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
2024-12-22,2025-02-02,42,-0.6080233291604731,12,2024,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True
2024-08-03,2024-11-01,90,0.8079750917784733,8,2024,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2024-08-03,2024-11-30,119,1.66347413776242,8,2024,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
2024-06-04,2024-07-15,41,-0.6375232962633678,6,2024,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
2024-11-06,2025-02-02,88,0.7489751575726838,11,2024,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2024-08-14,2024-11-13,91,0.837475058881368,8,2024,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False
2024-03-27,2024-06-24,89,0.7784751246755786,3,2024,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2024-12-05,2025-03-01,86,0.6899752233668944,12,2024,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False
2024-04-30,2024-07-30,91,0.837475058881368,4,2024,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
2024-03-16,2024-03-24,8,-1.6110222106588934,3,2024,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True
2024-11-08,2025-03-01,113,1.4864743351450518,11,2024,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2024-11-18,2025-02-04,78,0.4539754865437367,11,2024,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2024-07-23,2024-08-28,36,-0.7850231317778414,7,2024,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True
2024-08-05,2024-09-07,33,-0.8735230330865256,8,2024,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True
2024-01-26,2024-04-11,76,0.3949755523379473,1,2024,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False
2024-03-09,2024-06-24,107,1.3094745325276835,3,2024,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2024-10-31,2024-12-15,45,-0.519523427851789,10,2024,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
2024-09-15,2024-11-13,59,-0.10652388841126292,9,2024,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2024-08-31,2024-11-01,62,-0.01802398710257877,8,2024,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
2024-05-21,2024-09-01,103,1.1914746641161047,5,2024,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2024-05-02,2024-06-11,40,-0.6670232633662625,5,2024,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
2024-05-26,2024-06-30,35,-0.8145230988807362,5,2024,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True
2024-10-03,2024-10-18,15,-1.4045224409386305,10,2024,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True
2024-07-15,2024-10-16,93,0.8964749930871575,7,2024,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False
2024-07-31,2024-09-26,57,-0.16552382261705234,7,2024,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True
2024-07-31,2024-08-12,12,-1.4930223422473146,7,2024,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
2024-10-26,2025-01-28,94,0.9259749601900522,10,2024,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2024-09-01,2024-09-06,5,-1.6995221119675776,9,2024,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
2024-08-02,2024-10-14,73,0.3064756510292631,8,2024,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2024-04-22,2024-06-28,67,0.12947584841189483,4,2024,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False
2024-09-05,2024-09-13,8,-1.6110222106588934,9,2024,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
2024-12-13,2025-03-30,107,1.3094745325276835,12,2024,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
2024-03-06,2024-05-29,84,0.630975289161105,3,2024,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
2024-10-30,2025-01-15,77,0.424475519440842,10,2024,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
2024-11-25,2025-01-23,59,-0.10652388841126292,11,2024,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
2024-01-26,2024-03-04,38,-0.726023197572052,1,2024,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True
2024-08-20,2024-10-05,46,-0.49002346074889425,8,2024,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True
2024-08-03,2024-09-09,37,-0.7555231646749467,8,2024,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
2024-10-03,2024-10-14,11,-1.5225223093502094,10,2024,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True
2024-02-05,2024-05-19,104,1.2209746312189993,2,2024,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
2024-05-06,2024-06-05,30,-0.9620229343952097,5,2024,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
2024-05-02,2024-05-23,21,-1.227522638321262,5,2024,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
2024-04-21,2024-06-24,64,0.04097594710321067,4,2024,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
2024-03-26,2024-06-16,82,0.5719753549553156,3,2024,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
2024-06-08,2024-06-26,18,-1.3160225396299463,6,2024,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
2024-10-21,2025-01-20,91,0.837475058881368,10,2024,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2024-04-11,2024-04-25,14,-1.4340224080415251,4,2024,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
2024-12-22,2025-04-04,103,1.1914746641161047,12,2024,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False
2024-10-16,2025-01-29,105,1.2504745983218941,10,2024,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2024-08-07,2024-11-04,89,0.7784751246755786,8,2024,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2024-11-27,2025-01-14,48,-0.43102352654310483,11,2024,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2024-02-24,2024-04-24,60,-0.0770239213083682,2,2024,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True
2024-03-19,2024-05-18,60,-0.0770239213083682,3,2024,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True
2024-05-18,2024-08-09,83,0.6014753220582103,5,2024,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
2024-08-11,2024-11-29,110,1.3979744338363675,8,2024,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
2024-06-14,2024-10-06,114,1.5159743022479466,6,2024,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False
2024-08-18,2024-09-23,36,-0.7850231317778414,8,2024,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2024-12-08,2025-01-30,53,-0.28352369102863123,12,2024,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True
2024-06-15,2024-07-13,28,-1.0210228686009992,6,2024,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
2024-05-12,2024-06-29,48,-0.43102352654310483,5,2024,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True
2024-05-21,2024-08-05,76,0.3949755523379473,5,2024,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
2024-02-13,2024-03-19,35,-0.8145230988807362,2,2024,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
2024-10-11,2025-01-21,102,1.1619746970132099,10,2024,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
2024-12-30,2025-03-07,67,0.12947584841189483,12,2024,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
2024-05-30,2024-07-02,33,-0.8735230330865256,5,2024,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
2024-12-05,2025-02-22,79,0.4834754536466314,12,2024,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2024-09-28,2024-11-16,49,-0.40152355944021006,9,2024,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
2024-06-29,2024-10-01,94,0.9259749601900522,6,2024,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
2024-05-08,2024-06-11,34,-0.8440230659836309,5,2024,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
2024-03-02,2024-06-10,100,1.1029747628074205,3,2024,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
2024-04-20,2024-07-28,99,1.0734747957045256,4,2024,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
2024-10-28,2025-02-07,102,1.1619746970132099,10,2024,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
2024-02-21,2024-06-11,111,1.4274744009392624,2,2024,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False
2024-07-03,2024-07-30,27,-1.0505228357038938,7,2024,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True
2024-09-30,2024-10-21,21,-1.227522638321262,9,2024,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True
2024-10-10,2024-11-21,42,-0.6080233291604731,10,2024,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
2024-09-08,2024-09-26,18,-1.3160225396299463,9,2024,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
2024-08-28,2024-11-02,66,0.09997588130900009,8,2024,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
2024-01-27,2024-03-04,37,-0.7555231646749467,1,2024,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True
2024-07-24,2024-09-29,67,0.12947584841189483,7,2024,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
2024-12-17,2024-12-28,11,-1.5225223093502094,12,2024,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True
2024-06-04,2024-06-19,15,-1.4045224409386305,6,2024,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True
2024-08-01,2024-10-22,82,0.5719753549553156,8,2024,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
2024-09-24,2024-11-16,53,-0.28352369102863123,9,2024,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2024-10-28,2024-12-26,59,-0.10652388841126292,10,2024,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2024-01-31,2024-04-23,83,0.6014753220582103,1,2024,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
2024-11-16,2024-12-18,32,-0.9030230001894203,11,2024,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
2024-05-02,2024-05-29,27,-1.0505228357038938,5,2024,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
2024-01-02,2024-02-28,57,-0.16552382261705234,1,2024,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True
2024-05-29,2024-06-07,9,-1.5815222435559988,5,2024,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True
2024-05-24,2024-08-26,94,0.9259749601900522,5,2024,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
2024-04-29,2024-06-06,38,-0.726023197572052,4,2024,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True
